date,pct_change,pct_change_rounded
2022-12-01,0.03347750980888797,0.0
2023-01-01,0.5515247249069821,0.6
2023-02-01,0.33948398434380245,0.3
2023-03-01,0.05539412755906081,0.1
2023-04-01,0.4027940313549472,0.4
2023-05-01,0.15122598709624846,0.2
2023-06-01,0.2581466193672721,0.3
2023-07-01,0.16968158395787025,0.2
2023-08-01,0.49997537875678955,0.5
2023-09-01,0.4037394900339164,0.4
2023-10-01,0.09076890042749586,0.1
2023-11-01,0.14106802143973862,0.1
2023-12-01,0.21033019893732519,0.2
2024-01-01,0.34301261599751776,0.3
2024-02-01,0.3963924414288167,0.4
2024-03-01,0.34884992058441533,0.3
2024-04-01,0.2912462713108077,0.3
2024-05-01,0.03961458839163434,0.0
2024-06-01,-0.0028741138149102063,-0.0
2024-07-01,0.1389194937581939,0.1
2024-08-01,0.1801853517281904,0.2
2024-09-01,0.22920373984103293,0.2
2024-10-01,0.2264563237849071,0.2
2024-11-01,0.2804502414724075,0.3
2024-12-01,0.36467171645351293,0.4
2025-01-01,0.46693513600313263,0.5
